Filename,Shape_R,Shape_C,Size,Time_KM_A_Distance,ARI_KM_A_Distance,Time_KM_A_DistanceRatio,ARI_KM_A_DistanceRatio,Time_KM_A_ADLOF,ARI_KM_A_ADLOF,Time_DBS_A_Distance,ARI_DBS_A_Distance,Time_DBS_A_DistanceRatio,ARI_DBS_A_DistanceRatio,Time_DBS_A_ADLOF,ARI_DBS_A_ADLOF,Time_HAC_A_Distance,ARI_HAC_A_Distance,Time_HAC_A_DistanceRatio,ARI_HAC_A_DistanceRatio,Time_HAC_A_ADLOF,ARI_HAC_A_ADLOF,Time_AVG_A_Distance,ARI_AVG_A_Distance,Time_AVG_A_DistanceRatio,ARI_AVG_A_DistanceRatio,Time_AVG_A_ADLOF,ARI_AVG_A_ADLOF
1028_SWD,1000,11,44048,0.7706157366434733,0.0,0.6847400665283203,-0.00040581652875598255,0.7172706127166748,0.0,0.4950687885284424,0.0,0.3983951409657796,-0.00017843869254081655,0.4472198486328125,0.0,0.4173666636149089,0.0,0.4973585605621338,-0.00040581652875598255,0.4194273153940837,0.0,1.013241211573283,0.0,0.9435555140177408,-0.00040581652875598255,1.0307589371999104,0.0
1029_LEV,1000,5,20023,0.6316928863525391,0.0,0.6407226721445719,0.0,0.7134561538696289,0.0,0.41854047775268555,0.0,0.3977913061777751,1.6890138443710952e-05,0.4258407751719157,0.0,0.38950339953104657,0.0,0.3595973650614421,0.0,0.38904372851053876,0.0,0.9739836851755778,0.0,0.9036027590433756,0.0,0.9469229380289713,0.0
1030_ERA,1000,5,21290,0.6521263122558594,0.0,0.6643996238708496,0.0014237348502260064,0.7513441244761149,0.0,0.4348851839701335,0.0,0.3922293186187744,0.0011977918526304377,0.4887243111928304,0.0004886280021003189,0.39194512367248535,0.0,0.35814650853474933,0.0006472027412000329,0.4026891390482585,0.0,0.9434449672698975,0.0,0.9061868190765381,0.0011382108772417176,0.9563930829366049,0.0
294_satellite_image,6435,37,1239015,1.8156650861104329,0.006839264209248549,1.3028305371602376,0.012134251664274969,3.30496875445048,0.004065011955038156,1.4276954332987468,0.004973464678260513,0.9730088710784912,0.017561084948002775,3.1655805110931396,0.007884336399753876,1.522465467453003,0.011258230464402918,1.0047184626261394,0.011945514153822905,3.606998840967814,0.008680943699142588,2.3789009253184,0.004895658513125615,1.8530526955922444,0.009531228356228001,3.794988473256429,0.014046431340102384
GesturePhaseSegmentationProcessed,9873,33,3556412,3.1028738021850586,0.014217108847549656,1.9951767126719158,0.017787270723824262,4.513763030370076,0.025404365668339087,2.5035809675852456,0.0431470554478855,1.4474773406982422,0.04558956693940693,4.114362080891927,0.05229988141812646,2.528540929158529,0.00022728507797417587,1.4730206330617268,0.0034155144506049923,4.081085364023845,0.0010729792851214978,3.9818154176076255,0.01930837709989047,2.909844001134237,0.027360241725156397,5.5768866539001465,0.02306397753682656
Hill_Valley_with_noise,1212,101,839165,1.4071590900421143,9.245349801922116e-05,1.0494452317555745,0.0005379625013958229,2.453791697820028,-0.00019519077155074195,1.1018861134847004,-0.00018359560283722325,0.7466121514638265,-0.00017492087613365766,2.138144016265869,-0.00019982364552950692,0.996570348739624,-0.00035855900088446773,0.6584406693776449,6.884000982193806e-06,1.9386748472849529,5.375261240361838e-05,1.858856439590454,-0.000200260651210738,1.4754612445831299,-0.00019881850881154196,2.666547934214274,-0.00014975696217257934
Hill_Valley_without_noise,1212,101,1630738,1.5672717889149983,0.00013879067208209984,1.0674857298533122,0.0006898291036418553,2.4360252221425376,-1.4700124540547842e-05,1.2906336784362793,-0.00013906178610252642,0.8076519966125488,-9.858654256874439e-05,2.113374710083008,-0.00010316375173062109,1.1989691257476807,0.0006610975595591415,0.7134832541147867,0.00046789909117158886,2.498086134592692,0.000614859216055404,2.009127457936605,0.00035876496830562245,1.5347524483998616,0.00019603667495881574,3.5831414063771567,-0.00013575939987027212
JapaneseVowels,9961,15,1386971,1.6419978936513264,0.0,1.1950161457061768,-0.00037571820643401873,1.7178808848063152,0.0,1.2581233183542888,0.0,0.8155121008555094,-0.00037571820643401873,1.369458278020223,-0.0004592176939835132,1.480085293451945,0.0,1.0491758187611897,-0.00037571820643401873,1.5477797985076904,0.0,2.3665990829467773,0.0,1.938576062520345,-0.00037571820643401873,2.4683677355448403,0.0
PieChart3,1077,38,195602,0.9351859092712402,0.09644774275280332,0.8270500500996908,0.05676939466428774,2.1801029046376548,0.05846315625834695,0.6632482210795084,0.01715094796374132,0.5631348292032877,0.05641505374834338,1.4795547326405842,0.04175957798834559,0.6108585198720297,0.11482338364484257,0.48496278127034503,0.11380213369115871,1.6168071428934734,0.08184614133715569,1.321929136912028,0.03374639115687562,1.1977904637654622,0.03623529325749014,1.9999563694000244,0.0397163642901626
PizzaCutter3,1043,38,189137,0.9523327350616455,0.08077062737055997,0.845470666885376,0.08417551421393799,1.8368102709452312,0.08958034501177929,0.6705114046732584,0.0666874277164677,0.5544087886810303,0.048237656116058014,1.6338032086690266,0.050709646793804596,0.6349600156148275,0.07166226710470168,0.5279254118601481,0.08031064038577392,1.5890339215596516,0.07600492560781986,1.3128211498260498,0.06323151424330946,1.1850910186767578,0.056749349830156455,2.4005725383758545,0.0568791468151311
Satellite,5100,37,971912,1.533124049504598,0.5650110820000914,1.1420559883117676,0.5939879245480847,2.4603842894236245,0.584862091365879,1.1989869276682537,0.569190063569268,0.8011473814646403,0.5888142211700916,2.4667835235595703,0.5941665153461262,1.2420602639516194,0.5673570693882065,0.8240884145100912,0.6186706326304986,2.2021164099375405,0.600899878338782,2.035783052444458,0.5231440818615652,1.6216059525807698,0.5927534576028222,3.2731844584147134,0.5818592412763121
Speech,3686,401,13798013,7.881285270055135,-0.0006960083447899336,3.435716390609741,0.007213898717660853,12.407879193623861,-0.0016851826447409457,7.66918683052063,-0.000865895085748053,3.094250520070394,0.012471606953879846,11.12575618426005,-0.0013606233705533764,7.6618843873341875,-0.0006960083447899336,3.0767906506856284,0.013267527960326169,11.575282573699951,-0.0010360640963658072,8.82755963007609,-0.000526121603831814,4.157281875610352,0.007130196102879689,12.684533675511679,-0.0013606233705533764
Titanic,2201,4,47015,0.9064201513926188,0.19482556895060596,0.8864196936289469,0.19456982261229805,0.9612239996592203,0.1946893657204086,0.49169468879699707,0.13997681608264245,0.4474469820658366,0.16928653176048825,0.5615582466125488,0.156682236645289,0.49353758494059247,0.21508991394350893,0.40935476620992023,0.2769859017584162,0.6031483809153239,0.27714527291095903,1.2539749145507812,0.2770204434141971,1.2149701118469238,0.27688650963220596,1.3013915220896404,0.27691664753340056
