Filename,Row,Columm,Estimated_Time,100,200,300,400,500,600,700,800,900,1000,2000,3000,6000,9000,12000,15000,20000
BNG(trains)_OpenML,1000000,32,149823.34805483412,0.030801773071289062,0.013617992401123047,0.01772785186767578,0.022344350814819336,0.04042387008666992,0.06940102577209473,0.11381697654724121,0.13982272148132324,0.14296817779541016,0.15773224830627441,0.4122319221496582,0.8377227783203125,3.3832767009735107,6.876487970352173,15.040719985961914,23.239766120910645,49.35990619659424
BNG(letter_COMMA_5000_COMMA_1)_OpenML,1000000,16,77379879.64663011,0.006482124328613281,0.9259560108184814,1.7803080081939697,3.022703170776367,7.110191822052002,14.112880945205688
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1000000,25,71788.53782849005,0.007918119430541992,0.007193088531494141,0.011810064315795898,0.012900114059448242,0.014045238494873047,0.01967310905456543,0.02237868309020996,0.031723976135253906,0.033394813537597656,0.04099297523498535,0.13559985160827637,0.2976350784301758,1.3842809200286865,5.017323017120361,7.615931272506714,11.901565074920654,25.054118871688843
RandomRBF_10_1E-4_OpenML,1000000,10,81305.3156028844,0.008182048797607422,0.008133888244628906,0.010250091552734375,0.013052940368652344,0.01864910125732422,0.022593975067138672,0.031081199645996094,0.037255048751831055,0.0442507266998291,0.053865909576416016,0.1680469512939453,0.3813049793243408,1.742156982421875,4.137336254119873,8.098965883255005,13.640529870986938,27.14109492301941
BNG(kr-vs-kp)_OpenML,1000000,36,93534.80572028694,0.007508039474487305,0.009505987167358398,0.013185977935791016,0.016248226165771484,0.026562929153442383,0.04176831245422363,0.046698808670043945,0.059092044830322266,0.06662392616271973,0.07965278625488281,0.2205491065979004,0.519359827041626,2.421086072921753,5.594810247421265,10.552334785461426,17.0818989276886,33.01377320289612
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,106019305.77601892,0.007409095764160156,0.0413818359375,0.014100074768066406,0.02108597755432129,5.562138080596924,13.021308898925781
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,103318.81068080729,0.008812904357910156,0.009432077407836914,0.014491081237792969,0.015299797058105469,0.02255702018737793,0.0378110408782959,0.046195268630981445,0.050891876220703125,0.055361032485961914,0.07207870483398438,0.2181401252746582,0.4956789016723633,2.196295976638794,5.281346797943115,9.862449169158936,17.159183025360107,34.229081869125366
BNG(letter_COMMA_5000_COMMA_10)_OpenML,1000000,16,79943216.23899017,0.00808095932006836,0.7541229724884033,1.8695669174194336,3.008545160293579,7.331671714782715,14.468495845794678
BNG(segment)_OpenML,1000000,19,96127.53483669579,0.007295846939086914,0.007790088653564453,0.010653018951416016,0.012459039688110352,0.019157886505126953,0.03398394584655762,0.042282819747924805,0.04859495162963867,0.05602884292602539,0.0704188346862793,0.23483800888061523,0.5212411880493164,2.4270598888397217,5.43528413772583,9.45074987411499,16.548605918884277,32.727230072021484
BNG(autoPrice)_OpenML,1000000,15,316078513.81286955,0.006119728088378906,0.0069599151611328125,0.008564949035644531,0.010833024978637695,0.020162105560302734,0.026702165603637695,0.03761887550354004,0.04200315475463867,0.04379391670227051,0.06078791618347168,0.35211801528930664,0.6109378337860107,6417.662722110748
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,92236.02202042287,0.007563591003417969,0.012027978897094727,0.013563871383666992,0.01841282844543457,0.031163930892944336,0.05434894561767578,0.0655970573425293,0.07152891159057617,0.08135008811950684,0.10055994987487793,0.24770808219909668,0.5502099990844727,2.2819759845733643,5.221455812454224,9.875300645828247,16.658698081970215,31.960259199142456
BNG(spectf_test)_OpenML,1000000,44,71772.18430634006,0.006940126419067383,0.010834932327270508,0.011366844177246094,0.01535177230834961,0.01807403564453125,0.02438521385192871,0.030508995056152344,0.034073829650878906,0.040313720703125,0.04345130920410156,0.15251994132995605,0.3278210163116455,1.479698896408081,3.5500521659851074,7.634068012237549,11.872672080993652,24.086594820022583
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,93323.2180654028,0.007668018341064453,0.011761188507080078,0.01474308967590332,0.01727604866027832,0.02330803871154785,0.03306221961975098,0.04588174819946289,0.050955772399902344,0.07111382484436035,0.0734410285949707,0.21848106384277344,0.4951331615447998,2.114457845687866,5.001018047332764,9.300819873809814,15.68491792678833,31.423038959503174
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,158791.93272014926,0.03549814224243164,0.08160519599914551,0.07055497169494629,0.08912515640258789,0.19097900390625,0.28937792778015137,0.2721977233886719,0.2897942066192627,0.32962584495544434,0.32904982566833496,0.7690389156341553,1.5675740242004395,5.7940428256988525,12.38118600845337,21.903165102005005,36.04815483093262,62.63510012626648
bank-marketing_OpenML,45211,16,307717.29561929806,0.005637168884277344,0.008630037307739258,0.011906147003173828,0.014969110488891602,0.04430508613586426,0.08209013938903809,0.11294293403625488,0.7135112285614014,50.48637795448303
BNG(anneal)_OpenML,1000000,38,149133629.23923713,0.00846409797668457,0.009863138198852539,0.016561269760131836,0.024432897567749023,7.084212064743042,18.154227018356323
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,104715832.75520661,0.006799936294555664,0.013233184814453125,0.09656000137329102,0.03351306915283203,5.593623161315918,12.95241117477417
BNG(letter_COMMA_1000_COMMA_1)_OpenML,1000000,16,73478044.17793256,0.006712198257446289,0.7523200511932373,1.7765419483184814,2.9917969703674316,7.503690958023071,13.691587924957275
